WalkID 1, Step 27, ID 29, energy -195.12092162347244, accpeted true
WalkID 3, Step 23, ID 80, energy -194.45023719585018, accpeted false
WalkID 2, Step 23, ID 81, energy -194.73517415106573, accpeted false
WalkID 4, Step 25, ID 82, energy -194.23645393065883, accpeted false
WalkID 3, Step 24, ID 4, energy -195.19105790938073, accpeted true
WalkID 1, Step 28, ID 83, energy -193.57291274438649, accpeted false
WalkID 2, Step 24, ID 84, energy -194.91943733541638, accpeted true
WalkID 4, Step 26, ID 85, energy -194.58011360072342, accpeted false
WalkID 3, Step 25, ID 4, energy -195.1910533194793, accpeted true
WalkID 1, Step 29, ID 86, energy -195.1521537302964, accpeted true
WalkID 3, Step 26, ID 87, energy -194.72514729429705, accpeted false
WalkID 2, Step 25, ID 88, energy -194.91755672427203, accpeted true
WalkID 4, Step 27, ID 65, energy -194.86362773411656, accpeted true
WalkID 1, Step 30, ID 89, energy -195.0376256881937, accpeted false
WalkID 2, Step 26, ID 78, energy -194.92240729300835, accpeted true
WalkID 4, Step 28, ID 90, energy -194.6039394746823, accpeted true
WalkID 1, Step 31, ID 91, energy -194.42023332370465, accpeted false
WalkID 3, Step 27, ID 92, energy -193.82458376323527, accpeted false
WalkID 1, Step 32, ID 67, energy -195.12034521155098, accpeted false
WalkID 3, Step 28, ID 93, energy -194.72166182350165, accpeted false
WalkID 2, Step 27, ID 94, energy -194.68125901784478, accpeted false
WalkID 4, Step 29, ID 95, energy -194.61731004130544, accpeted false
WalkID 1, Step 33, ID 96, energy -195.0548238564263, accpeted true
WalkID 4, Step 30, ID 97, energy -194.34159013277758, accpeted false
WalkID 2, Step 28, ID 98, energy -194.88730544232217, accpeted false
WalkID 1, Step 34, ID 99, energy -194.9605254573755, accpeted true
WalkID 3, Step 29, ID 4, energy -195.19106104141386, accpeted true
WalkID 2, Step 29, ID 3, energy -195.24910573428218, accpeted true
WalkID 1, Step 35, ID 100, energy -194.94209500382453, accpeted true
WalkID 4, Step 31, ID 101, energy -194.34383445747278, accpeted false
WalkID 3, Step 30, ID 4, energy -195.19104984537353, accpeted true
WalkID 2, Step 30, ID 3, energy -195.2491000596958, accpeted true
WalkID 2, Step 31, ID 102, energy -194.90482925201516, accpeted false
WalkID 1, Step 36, ID 103, energy -194.72490910514597, accpeted false
WalkID 4, Step 32, ID 104, energy -194.80098794012275, accpeted false
WalkID 4, Step 33, ID 105, energy -194.60544972954338, accpeted false
WalkID 1, Step 37, ID 106, energy -195.11107826377906, accpeted true
WalkID 2, Step 32, ID 107, energy -194.62673454553214, accpeted false
WalkID 3, Step 31, ID 108, energy -194.64353027783025, accpeted false
WalkID 4, Step 34, ID 109, energy -194.54312594740074, accpeted false
WalkID 1, Step 38, ID 110, energy -194.88286040629245, accpeted false
WalkID 2, Step 33, ID 7, energy -195.2291937770513, accpeted true
WalkID 3, Step 32, ID 111, energy -193.7035082582417, accpeted false
WalkID 4, Step 35, ID 112, energy -194.60124117879363, accpeted true
WalkID 2, Step 34, ID 113, energy -194.6971664684416, accpeted false
WalkID 1, Step 39, ID 114, energy -194.7379932874876, accpeted false
WalkID 3, Step 33, ID 115, energy -194.92536451116405, accpeted false
WalkID 2, Step 35, ID 116, energy -194.81560276737358, accpeted false
WalkID 4, Step 36, ID 117, energy -194.68095848524604, accpeted false
WalkID 3, Step 34, ID 118, energy -194.63786695095732, accpeted false
WalkID 4, Step 37, ID 119, energy -194.34119253769444, accpeted false
WalkID 2, Step 36, ID 120, energy -194.61441681328822, accpeted false
WalkID 1, Step 40, ID 121, energy -194.5650430342044, accpeted false
WalkID 4, Step 38, ID 122, energy -194.6059071881327, accpeted true
WalkID 2, Step 37, ID 123, energy -194.82262715105722, accpeted false
WalkID 3, Step 35, ID 4, energy -195.19104592103804, accpeted true
WalkID 1, Step 41, ID 124, energy -194.31378685173118, accpeted false
WalkID 2, Step 38, ID 125, energy -194.8677510415859, accpeted false
WalkID 4, Step 39, ID 126, energy -194.09539774261438, accpeted false
WalkID 1, Step 42, ID 127, energy -195.11333927080526, accpeted true
WalkID 2, Step 39, ID 128, energy -194.75633943505605, accpeted false
WalkID 4, Step 40, ID 129, energy -194.59224316428669, accpeted false
WalkID 3, Step 36, ID 4, energy -195.19104738987212, accpeted true
WalkID 1, Step 43, ID 130, energy -194.71039111511095, accpeted false
WalkID 3, Step 37, ID 131, energy -194.63561186418252, accpeted false
WalkID 1, Step 44, ID 132, energy -194.6385407148684, accpeted false
WalkID 2, Step 40, ID 133, energy -194.56459413218707, accpeted false
WalkID 4, Step 41, ID 134, energy -194.6650258642978, accpeted false
WalkID 1, Step 45, ID 106, energy -195.11146502010115, accpeted true
WalkID 2, Step 41, ID 135, energy -194.79565650306063, accpeted false
WalkID 1, Step 46, ID 136, energy -194.6295875282604, accpeted false
WalkID 3, Step 38, ID 137, energy -194.68886236019858, accpeted false
WalkID 4, Step 42, ID 138, energy -194.11655080792997, accpeted false
WalkID 1, Step 47, ID 139, energy -195.11328003025446, accpeted true
WalkID 3, Step 39, ID 140, energy -195.07868258673025, accpeted false
WalkID 2, Step 42, ID 3, energy -195.24910922564362, accpeted true
WalkID 1, Step 48, ID 141, energy -194.98409463253645, accpeted false
WalkID 3, Step 40, ID 142, energy -194.51121706784167, accpeted false
WalkID 2, Step 43, ID 7, energy -195.22918419586455, accpeted true
WalkID 4, Step 43, ID 143, energy -194.57845112740273, accpeted true
WalkID 3, Step 41, ID 4, energy -195.19104736560274, accpeted true
WalkID 1, Step 49, ID 144, energy -195.1100393739967, accpeted true
WalkID 2, Step 44, ID 3, energy -195.24909992921724, accpeted true
WalkID 1, Step 50, ID 145, energy -194.6612505991474, accpeted false
WalkID 4, Step 44, ID 146, energy -194.49780336901648, accpeted false
WalkID 3, Step 42, ID 147, energy -194.84075732567018, accpeted false
WalkID 2, Step 45, ID 3, energy -195.24908256955686, accpeted true
