WalkID 2, Step 24, ID 9, energy -195.21120299541957, accpeted false
WalkID 3, Step 23, ID 71, energy -194.45396712302139, accpeted false
WalkID 1, Step 27, ID 73, energy -193.85042878170427, accpeted false
WalkID 2, Step 25, ID 72, energy -194.89198987221215, accpeted true
WalkID 3, Step 24, ID 74, energy -194.63614609423348, accpeted false
WalkID 4, Step 24, ID 2, energy -195.24909418336128, accpeted true
WalkID 2, Step 26, ID 75, energy -194.74280842524655, accpeted false
WalkID 1, Step 28, ID 76, energy -195.15573563081713, accpeted false
WalkID 3, Step 25, ID 4, energy -195.19105518638548, accpeted true
WalkID 1, Step 29, ID 1, energy -195.12468685562953, accpeted false
WalkID 4, Step 25, ID 2, energy -195.2491091095946, accpeted true
WalkID 2, Step 27, ID 77, energy -195.05280165524505, accpeted false
WalkID 1, Step 30, ID 78, energy -194.90260747576667, accpeted false
WalkID 4, Step 26, ID 79, energy -194.72430435817148, accpeted false
WalkID 3, Step 26, ID 4, energy -195.19104811669305, accpeted true
WalkID 4, Step 27, ID 80, energy -195.0496837996013, accpeted false
WalkID 1, Step 31, ID 81, energy -194.70057211191389, accpeted false
WalkID 2, Step 28, ID 72, energy -194.892371349121, accpeted true
WalkID 3, Step 27, ID 82, energy -194.73850723811964, accpeted false
WalkID 1, Step 32, ID 83, energy -195.1611772771054, accpeted false
WalkID 3, Step 28, ID 84, energy -194.76715557618246, accpeted false
WalkID 4, Step 28, ID 2, energy -195.24909975118027, accpeted true
WalkID 2, Step 29, ID 85, energy -194.7828272013331, accpeted false
WalkID 1, Step 33, ID 86, energy -194.8242007719463, accpeted false
WalkID 2, Step 30, ID 87, energy -194.8911841663117, accpeted false
WalkID 3, Step 29, ID 88, energy -195.07806468636556, accpeted false
WalkID 4, Step 29, ID 89, energy -194.3992435184488, accpeted false
WalkID 1, Step 34, ID 90, energy -195.03045680211147, accpeted false
WalkID 2, Step 31, ID 91, energy -194.8882302145067, accpeted true
WalkID 3, Step 30, ID 4, energy -195.19104332407687, accpeted true
WalkID 1, Step 35, ID 92, energy -194.5061490787644, accpeted false
WalkID 4, Step 30, ID 93, energy -194.33000363650558, accpeted false
WalkID 2, Step 32, ID 72, energy -194.89214266640843, accpeted true
WalkID 4, Step 31, ID 2, energy -195.2491038429965, accpeted true
WalkID 2, Step 33, ID 91, energy -194.8883837004786, accpeted false
WalkID 3, Step 31, ID 94, energy -194.39414468126898, accpeted false
WalkID 1, Step 36, ID 95, energy -195.10882145371565, accpeted false
WalkID 4, Step 32, ID 96, energy -194.95940374831147, accpeted false
WalkID 2, Step 34, ID 72, energy -194.89165745552347, accpeted true
WalkID 3, Step 32, ID 4, energy -195.1910513655851, accpeted true
WalkID 2, Step 35, ID 97, energy -194.30596719494218, accpeted false
WalkID 1, Step 37, ID 98, energy -194.7186002877777, accpeted false
WalkID 4, Step 33, ID 2, energy -195.2490907829785, accpeted true
WalkID 2, Step 36, ID 72, energy -194.89203375992128, accpeted true
WalkID 3, Step 33, ID 99, energy -195.08665086828816, accpeted false
WalkID 1, Step 38, ID 100, energy -195.1064174859282, accpeted false
WalkID 4, Step 34, ID 2, energy -195.24911378898818, accpeted true
WalkID 2, Step 37, ID 101, energy -194.31895923943605, accpeted false
WalkID 3, Step 34, ID 102, energy -194.62969938659597, accpeted false
WalkID 1, Step 39, ID 103, energy -194.80069240786838, accpeted false
WalkID 2, Step 38, ID 104, energy -194.50657293186325, accpeted false
WalkID 4, Step 35, ID 2, energy -195.2490892721707, accpeted true
WalkID 1, Step 40, ID 106, energy -194.98219012269988, accpeted false
WalkID 2, Step 39, ID 105, energy -194.89402631741083, accpeted true
WalkID 3, Step 35, ID 4, energy -195.19106150667938, accpeted true
WalkID 3, Step 36, ID 107, energy -194.7490094013736, accpeted false
WalkID 2, Step 40, ID 108, energy -194.8836916410925, accpeted false
WalkID 1, Step 41, ID 109, energy -195.15887805741687, accpeted false
WalkID 4, Step 36, ID 2, energy -195.24910422333295, accpeted true
WalkID 2, Step 41, ID 110, energy -194.89476191610822, accpeted true
WalkID 1, Step 42, ID 111, energy -194.6994530856327, accpeted false
WalkID 3, Step 37, ID 112, energy -195.0050187421835, accpeted false
WalkID 4, Step 37, ID 113, energy -193.71506666416286, accpeted false
WalkID 2, Step 42, ID 110, energy -194.89454336769003, accpeted true
WalkID 1, Step 43, ID 114, energy -195.17976246144767, accpeted false
WalkID 3, Step 38, ID 115, energy -194.71999506316038, accpeted false
WalkID 2, Step 43, ID 110, energy -194.8945225061004, accpeted true
WalkID 3, Step 39, ID 116, energy -194.83141644542437, accpeted false
WalkID 4, Step 38, ID 117, energy -194.94010935035152, accpeted false
WalkID 1, Step 44, ID 118, energy -194.79980728090428, accpeted false
WalkID 2, Step 44, ID 119, energy -194.89418694969646, accpeted true
WalkID 2, Step 45, ID 105, energy -194.89396582191026, accpeted true
WalkID 1, Step 45, ID 120, energy -194.83885777023963, accpeted false
WalkID 3, Step 40, ID 4, energy -195.19105150218294, accpeted true
WalkID 4, Step 39, ID 121, energy -195.05612385790795, accpeted false
WalkID 3, Step 41, ID 122, energy -194.69277934877167, accpeted false
WalkID 4, Step 40, ID 123, energy -194.83582208058283, accpeted false
WalkID 1, Step 46, ID 124, energy -194.31279701200089, accpeted false
WalkID 3, Step 42, ID 125, energy -194.91747920936157, accpeted false
WalkID 2, Step 46, ID 126, energy -194.672396853129, accpeted false
WalkID 4, Step 41, ID 127, energy -194.86322614573066, accpeted false
WalkID 3, Step 43, ID 128, energy -194.74779475945647, accpeted false
WalkID 1, Step 47, ID 129, energy -195.03234403663993, accpeted false
WalkID 2, Step 47, ID 105, energy -194.89375510120828, accpeted true
WalkID 1, Step 48, ID 130, energy -195.10245621453439, accpeted false
WalkID 3, Step 44, ID 131, energy -195.11272541459363, accpeted false
WalkID 2, Step 48, ID 132, energy -194.6238349842068, accpeted false
WalkID 4, Step 42, ID 2, energy -195.24911349233332, accpeted true
WalkID 3, Step 45, ID 133, energy -194.95893190784898, accpeted false
WalkID 2, Step 49, ID 105, energy -194.8935764015462, accpeted true
WalkID 1, Step 49, ID 134, energy -194.5791410554363, accpeted false
WalkID 3, Step 46, ID 135, energy -194.88597308596823, accpeted false
WalkID 4, Step 43, ID 2, energy -195.24911040786264, accpeted true
WalkID 4, Step 44, ID 136, energy -195.05378754850216, accpeted false
WalkID 1, Step 50, ID 137, energy -195.12553552477218, accpeted false
WalkID 3, Step 47, ID 4, energy -195.19104238717082, accpeted true
WalkID 2, Step 50, ID 138, energy -194.53974796164206, accpeted false
WalkID 4, Step 45, ID 139, energy -194.5957677503314, accpeted false
WalkID 1, Step 51, ID 140, energy -193.8678275817408, accpeted false
WalkID 3, Step 48, ID 141, energy -194.61579770146525, accpeted false
WalkID 2, Step 51, ID 142, energy -194.38422991436457, accpeted false
WalkID 1, Step 52, ID 143, energy -195.10683456837864, accpeted false
WalkID 4, Step 46, ID 2, energy -195.24910464329938, accpeted true
WalkID 3, Step 49, ID 4, energy -195.1910500755204, accpeted true
WalkID 2, Step 52, ID 144, energy -193.95187626487896, accpeted false
WalkID 1, Step 53, ID 145, energy -195.11833152822405, accpeted false
WalkID 3, Step 50, ID 4, energy -195.1910517592628, accpeted true
WalkID 4, Step 47, ID 2, energy -195.2490896476322, accpeted true
WalkID 2, Step 53, ID 146, energy -194.58912981727028, accpeted false
WalkID 1, Step 54, ID 1, energy -195.1248508038002, accpeted false
WalkID 3, Step 51, ID 147, energy -194.97138921646243, accpeted false
WalkID 4, Step 48, ID 148, energy -194.08664996055347, accpeted false
WalkID 1, Step 55, ID 149, energy -194.98563594018998, accpeted false
WalkID 3, Step 52, ID 4, energy -195.1910583351576, accpeted true
WalkID 2, Step 54, ID 150, energy -194.8124526963685, accpeted false
WalkID 2, Step 55, ID 41, energy -195.16502316758226, accpeted false
WalkID 3, Step 53, ID 151, energy -194.34617680187515, accpeted false
WalkID 1, Step 56, ID 152, energy -194.12740788630128, accpeted false
WalkID 4, Step 49, ID 153, energy -195.15270657019445, accpeted false
WalkID 3, Step 54, ID 4, energy -195.19106143883764, accpeted true
WalkID 1, Step 57, ID 154, energy -194.66843102821187, accpeted false
WalkID 2, Step 56, ID 155, energy -194.62529531908314, accpeted false
WalkID 4, Step 50, ID 2, energy -195.24910407515284, accpeted true
WalkID 3, Step 55, ID 156, energy -193.0670029843818, accpeted false
WalkID 4, Step 51, ID 157, energy -194.91213390780996, accpeted false
WalkID 1, Step 58, ID 158, energy -194.41043429352996, accpeted false
WalkID 2, Step 57, ID 159, energy -194.8847031338399, accpeted false
WalkID 2, Step 58, ID 110, energy -194.8945907957218, accpeted true
WalkID 3, Step 56, ID 4, energy -195.1910543081105, accpeted true
WalkID 4, Step 52, ID 2, energy -195.24910526335844, accpeted true
WalkID 2, Step 59, ID 160, energy -194.86264534390065, accpeted false
WalkID 3, Step 57, ID 4, energy -195.1910560472867, accpeted true
WalkID 4, Step 53, ID 2, energy -195.2490929559452, accpeted true
WalkID 2, Step 60, ID 41, energy -195.16498595523922, accpeted false
WalkID 3, Step 58, ID 161, energy -195.04467122145508, accpeted false
WalkID 1, Step 59, ID 162, energy -194.38390730369323, accpeted false
WalkID 4, Step 54, ID 163, energy -195.0613997539019, accpeted true
WalkID 1, Step 60, ID 164, energy -194.9035346200096, accpeted false
WalkID 2, Step 61, ID 165, energy -194.61135306167074, accpeted false
WalkID 3, Step 59, ID 4, energy -195.19105055946727, accpeted true
WalkID 1, Step 61, ID 166, energy -195.09768614220255, accpeted true
WalkID 4, Step 55, ID 167, energy -194.24210781626294, accpeted false
WalkID 2, Step 62, ID 168, energy -193.67348657920743, accpeted false
WalkID 1, Step 62, ID 1, energy -195.12544660987604, accpeted false
WalkID 3, Step 60, ID 4, energy -195.191052429801, accpeted true
WalkID 2, Step 63, ID 110, energy -194.89461463583453, accpeted true
WalkID 4, Step 56, ID 169, energy -194.52406164446717, accpeted false
WalkID 1, Step 63, ID 137, energy -195.1259818684916, accpeted false
WalkID 2, Step 64, ID 170, energy -194.88303873234898, accpeted false
WalkID 3, Step 61, ID 4, energy -195.19103877043727, accpeted true
WalkID 1, Step 64, ID 29, energy -195.1200451446645, accpeted false
WalkID 4, Step 57, ID 2, energy -195.2491056828835, accpeted true
WalkID 2, Step 65, ID 171, energy -195.05153175986362, accpeted false
WalkID 3, Step 62, ID 172, energy -194.67683301344937, accpeted false
WalkID 2, Step 66, ID 173, energy -195.09605282608695, accpeted false
